	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1743.164063	-7.33	-15.01	0.89
1746.093750	-7.33	-15.02	0.85
1749.023438	-7.31	-15.05	0.86
1751.953125	-7.30	-15.11	0.92
1754.882813	-7.28	-15.15	0.98
1757.812500	-7.28	-15.14	0.96
1760.742188	-7.29	-15.08	0.93
1763.671875	-7.29	-14.98	0.91
1766.601563	-7.31	-14.87	0.96
1769.531250	-7.32	-14.77	0.89
1772.460938	-7.33	-14.64	0.85
1775.390625	-7.33	-14.50	0.90
1778.320313	-7.34	-14.35	0.93
1781.250000	-7.36	-14.19	0.92
1784.179688	-7.37	-14.07	0.85
1787.109375	-7.39	-14.03	0.90
1790.039063	-7.40	-14.02	0.93
1792.968750	-7.41	-14.03	0.93
1795.898438	-7.42	-14.04	0.97
1798.828125	-7.43	-14.05	0.94
1801.757813	-7.44	-14.06	0.88
1804.687500	-7.44	-14.08	0.87
1807.617188	-7.43	-14.09	0.94
1810.546875	-7.43	-14.15	0.93
1813.476563	-7.43	-14.25	0.84
1816.406250	-7.42	-14.38	0.86
1819.335938	-7.41	-14.50	0.90
1822.265625	-7.40	-14.62	0.93
1825.195313	-7.41	-14.76	0.93
1828.125000	-7.41	-14.93	0.93
1831.054688	-7.42	-15.13	0.89
1833.984375	-7.44	-15.34	0.86
1836.914063	-7.45	-15.53	0.75
1839.843750	-7.47	-15.73	0.69
1842.773438	-7.48	-15.95	0.61
1845.703125	-7.49	-16.17	0.87
1848.632813	-7.49	-16.35	0.89
1851.562500	-7.49	-16.50	0.92
1854.492188	-7.50	-16.61	0.94
1857.421875	-7.50	-16.71	0.93
1860.351563	-7.51	-16.82	0.94
1863.281250	-7.52	-16.95	0.96
1866.210938	-7.54	-17.08	0.95
1869.140625	-7.55	-17.22	0.90
1872.070313	-7.56	-17.36	0.93
1875.000000	-7.57	-17.52	0.96
1877.929688	-7.58	-17.71	0.94
1880.859375	-7.59	-17.91	0.95
1883.789063	-7.61	-18.11	0.94
1886.718750	-7.63	-18.32	0.96
1889.648438	-7.65	-18.51	0.95
1892.578125	-7.66	-18.67	0.92
1895.507813	-7.68	-18.84	0.93
1898.437500	-7.69	-19.02	0.97
1901.367188	-7.70	-19.25	0.96
1904.296875	-7.71	-19.47	0.92
1907.226563	-7.71	-19.67	0.82
1910.156250	-7.71	-19.84	0.86
1913.085938	-7.71	-19.95	0.95
1916.015625	-7.71	-19.96	0.97
1918.945313	-7.71	-19.92	0.92
1921.875000	-7.72	-19.87	0.88
1924.804688	-7.72	-19.84	0.92
1927.734375	-7.74	-19.82	0.94
1930.664063	-7.76	-19.84	0.91
1933.593750	-7.78	-19.89	0.88
1936.523438	-7.81	-19.96	0.94
1939.453125	-7.83	-20.05	0.92
1942.382813	-7.86	-20.17	0.91
1945.312500	-7.88	-20.31	0.92
1948.242188	-7.91	-20.48	0.94
1951.171875	-7.94	-20.68	0.93
1954.101563	-7.95	-20.85	0.94
1957.031250	-7.97	-20.99	0.93
1959.960938	-8.00	-21.06	0.68
1962.890625	-8.02	-21.11	0.79
1965.820313	-8.02	-21.14	0.95
1968.750000	-8.01	-21.20	0.90
1971.679688	-8.00	-21.32	0.91
1974.609375	-7.99	-21.52	0.86
1977.539063	-7.97	-21.72	0.90
1980.468750	-7.95	-21.91	0.91
1983.398438	-7.93	-22.05	0.93
1986.328125	-7.92	-22.16	0.95
1989.257813	-7.91	-22.23	0.89
1992.187500	-7.90	-22.24	0.90
1995.117188	-7.89	-22.21	0.83
1998.046875	-7.89	-22.17	0.82
2000.976563	-7.89	-22.13	0.77
2003.906250	-7.89	-22.12	0.73
2006.835938	-7.88	-22.12	0.84
2009.765625	-7.88	-22.13	0.95
2012.695313	-7.88	-22.15	0.95
2015.625000	-7.88	-22.19	0.95
2018.554688	-7.88	-22.22	0.96
2021.484375	-7.88	-22.23	0.93
2024.414063	-7.88	-22.25	0.91
2027.343750	-7.87	-22.28	0.96
2030.273438	-7.86	-22.35	0.94
2033.203125	-7.84	-22.46	0.87
2036.132813	-7.83	-22.61	0.92
2039.062500	-7.80	-22.78	0.94
2041.992188	-7.78	-22.94	0.87
2044.921875	-7.75	-23.08	0.74
2047.851563	-7.73	-23.19	0.89
2050.781250	-7.71	-23.26	0.87
2053.710938	-7.69	-23.31	0.80
2056.640625	-7.68	-23.38	0.84
2059.570313	-7.67	-23.47	0.83
2062.500000	-7.66	-23.56	0.87
2065.429688	-7.65	-23.70	0.81
2068.359375	-7.65	-23.86	0.86
2071.289063	-7.64	-24.08	0.86
2074.218750	-7.63	-24.28	0.90
